2025-05-07 at 14:22:38 | INFO | Бот успешно запущен.
2025-05-07 at 14:22:56 | INFO | Вызов команды /start
2025-05-07 at 14:22:58 | INFO | Вызов команды /employee_menu
2025-05-07 at 14:23:24 | INFO | Бот остановлен!
2025-05-07 at 14:24:05 | INFO | Бот успешно запущен.
2025-05-07 at 14:24:10 | INFO | Вызов команды /start
2025-05-07 at 14:24:11 | INFO | Вызов команды /task_menu
2025-05-07 at 14:24:23 | INFO | Бот остановлен!
2025-05-07 at 14:24:42 | INFO | Бот успешно запущен.
2025-05-07 at 14:24:45 | INFO | Вызов команды /start
2025-05-07 at 14:24:47 | INFO | Вызов команды /task_menu
2025-05-07 at 14:24:47 | INFO | Вызов команды /start_admin
2025-05-07 at 14:24:55 | INFO | Бот остановлен!
2025-05-07 at 14:25:25 | INFO | Бот успешно запущен.
2025-05-07 at 14:27:32 | INFO | Вызов команды /start
2025-05-07 at 14:27:34 | INFO | Вызов команды /task_menu
2025-05-07 at 14:27:39 | INFO | Вызов команды /start_admin
2025-05-07 at 14:29:47 | INFO | Бот остановлен!
2025-05-07 at 14:30:11 | INFO | Бот успешно запущен.
2025-05-07 at 14:30:22 | INFO | Вызов команды /start
2025-05-07 at 14:30:24 | INFO | Вызов команды /employee_menu
2025-05-07 at 14:30:25 | INFO | Вызов команды /start_admin
2025-05-07 at 14:31:01 | INFO | Вызов команды /task_menu
2025-05-07 at 14:31:02 | INFO | Вызов команды /start_admin
2025-05-07 at 14:32:23 | INFO | Бот остановлен!
2025-05-07 at 14:46:40 | INFO | Бот успешно запущен.
2025-05-07 at 14:46:54 | INFO | Вызов команды /start
2025-05-07 at 14:46:56 | INFO | Вызов команды /employee_menu
2025-05-07 at 14:46:57 | INFO | Вызов команды /start_admin
2025-05-07 at 14:46:59 | INFO | Вызов команды /task_menu
2025-05-07 at 14:47:02 | INFO | Вызов команды /start_admin
2025-05-07 at 14:47:38 | INFO | Вызов команды /task_menu
2025-05-07 at 14:48:33 | INFO | Бот остановлен!
2025-05-07 at 14:48:39 | INFO | Бот успешно запущен.
2025-05-07 at 14:48:52 | INFO | Бот остановлен!
2025-05-07 at 17:25:10 | INFO | Бот успешно запущен.
2025-05-07 at 17:25:27 | INFO | Бот остановлен!
2025-05-07 at 17:26:07 | INFO | Бот успешно запущен.
2025-05-07 at 17:26:18 | INFO | Бот остановлен!
2025-05-07 at 17:29:07 | INFO | Бот успешно запущен.
2025-05-07 at 17:29:52 | INFO | Бот остановлен!
2025-05-07 at 17:30:07 | INFO | Бот успешно запущен.
2025-05-07 at 17:30:19 | INFO | Вызов команды /stop
2025-05-07 at 17:30:24 | INFO | Бот остановлен!
2025-05-07 at 17:53:53 | INFO | Бот успешно запущен.
2025-05-07 at 17:54:40 | INFO | Вызов команды /start
2025-05-07 at 17:54:42 | INFO | Вызов команды /task_menu
2025-05-07 at 17:58:31 | INFO | Бот остановлен!
2025-05-07 at 17:58:37 | INFO | Бот успешно запущен.
2025-05-07 at 17:58:48 | INFO | Бот остановлен!
2025-05-07 at 17:59:04 | INFO | Бот успешно запущен.
2025-05-07 at 17:59:05 | INFO | Вызов команды /start_admin
2025-05-07 at 18:01:43 | INFO | Бот остановлен!
2025-05-07 at 18:01:49 | INFO | Бот успешно запущен.
2025-05-07 at 18:01:51 | INFO | Вызов команды /start_admin
2025-05-07 at 18:02:01 | INFO | Бот остановлен!
2025-05-07 at 18:03:13 | INFO | Бот успешно запущен.
2025-05-07 at 18:03:16 | INFO | Вызов команды /start_admin
2025-05-07 at 18:03:26 | INFO | Бот остановлен!
2025-05-07 at 18:03:40 | INFO | Бот успешно запущен.
2025-05-07 at 18:03:46 | INFO | Вызов команды /start_admin
2025-05-07 at 18:03:54 | INFO | Бот остановлен!
2025-05-07 at 18:06:22 | INFO | Бот успешно запущен.
2025-05-07 at 18:06:33 | INFO | Вызов команды /start_admin
2025-05-07 at 18:07:01 | INFO | Бот остановлен!
2025-05-07 at 18:07:07 | INFO | Бот успешно запущен.
2025-05-07 at 18:07:16 | INFO | Вызов команды /start_admin
2025-05-07 at 18:07:16 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 5082438145}
2025-05-07 at 18:07:16 | ERROR | Ошибка при поиске записи по фильтрам {'tg_id': 5082438145}: Entity namespace for "users" has no property "tg_id"
2025-05-07 at 18:08:03 | INFO | Бот остановлен!
2025-05-07 at 18:08:09 | INFO | Бот успешно запущен.
2025-05-07 at 18:08:13 | INFO | Вызов команды /start_admin
2025-05-07 at 18:13:34 | INFO | Бот остановлен!
2025-05-07 at 18:13:41 | INFO | Бот успешно запущен.
2025-05-07 at 18:13:44 | INFO | Вызов команды /start_admin
2025-05-07 at 18:14:08 | INFO | Бот остановлен!
2025-05-07 at 18:14:13 | INFO | Бот успешно запущен.
2025-05-07 at 18:14:16 | INFO | Вызов команды /start_admin
2025-05-07 at 18:14:50 | INFO | Бот остановлен!
2025-05-07 at 18:15:09 | INFO | Бот успешно запущен.
2025-05-07 at 18:15:13 | INFO | Вызов команды /start_admin
2025-05-07 at 18:15:13 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5082438145}
2025-05-07 at 18:15:13 | INFO | Запись не найдена по фильтрам: {'telegram_id': 5082438145}
2025-05-07 at 18:15:26 | INFO | Бот остановлен!
2025-05-07 at 18:23:29 | INFO | Бот успешно запущен.
2025-05-07 at 18:24:31 | INFO | Бот остановлен!
2025-05-07 at 18:24:39 | INFO | Бот успешно запущен.
2025-05-07 at 18:30:14 | INFO | Бот остановлен!
2025-05-12 at 09:29:35 | INFO | Бот успешно запущен.
2025-05-12 at 09:29:40 | INFO | Вызов команды /start
2025-05-12 at 09:29:59 | INFO | Вызов команды /employee_menu
2025-05-12 at 09:35:19 | INFO | Бот остановлен!
2025-05-12 at 09:35:24 | INFO | Бот успешно запущен.
2025-05-12 at 09:35:30 | INFO | Вызов команды /start
2025-05-12 at 09:36:00 | INFO | Бот остановлен!
2025-05-12 at 10:20:22 | INFO | Бот успешно запущен.
2025-05-12 at 10:20:41 | INFO | Бот остановлен!
2025-05-12 at 10:20:50 | INFO | Бот успешно запущен.
2025-05-12 at 10:21:46 | INFO | Бот остановлен!
2025-05-12 at 11:39:51 | INFO | Upsert для Role
2025-05-12 at 11:39:51 | ERROR | Ошибка при seedRole: __pydantic_fields__
2025-05-12 at 12:26:45 | INFO | Upsert для Role
2025-05-12 at 12:26:45 | ERROR | Ошибка при seedRoles: __pydantic_fields__
2025-05-12 at 15:01:49 | INFO | Upsert для Role
2025-05-12 at 15:01:49 | ERROR | Ошибка при seedRoles: __pydantic_fields__
2025-05-12 at 15:04:14 | INFO | Upsert для Role
2025-05-12 at 15:04:14 | ERROR | Ошибка при seedRoles: __pydantic_fields__
2025-05-12 at 15:10:52 | INFO | Upsert для Role
2025-05-12 at 15:10:52 | ERROR | Ошибка при seedRoles: __pydantic_fields__
2025-05-12 at 15:20:41 | ERROR | Ошибка при seedRoles: 'property' object is not iterable
2025-05-12 at 15:21:52 | ERROR | Ошибка при seedRoles: 'member_descriptor' object is not iterable
2025-05-12 at 15:22:45 | ERROR | Ошибка при seedRoles: 'property' object is not iterable
2025-05-12 at 15:25:10 | ERROR | Ошибка при seedRoles: 'property' object has no attribute '__dict__'
2025-05-12 at 15:25:28 | ERROR | Ошибка при seedRoles: 'function' object is not iterable
2025-05-12 at 15:25:50 | INFO | Upsert для Role
2025-05-12 at 15:25:50 | ERROR | Ошибка при seedRoles: __pydantic_fields__
2025-05-12 at 15:33:31 | INFO | Upsert для Role
2025-05-12 at 15:33:31 | ERROR | Ошибка при seedRoles: __pydantic_fields__
2025-05-12 at 15:40:53 | INFO | Upsert для Role
2025-05-12 at 15:40:53 | ERROR | Ошибка при seedRoles: __pydantic_fields__
2025-05-12 at 15:54:32 | INFO | Подсчет количества записей Role по фильтру: {}
2025-05-12 at 15:54:32 | INFO | Найдено 0 записей.
2025-05-12 at 15:54:32 | INFO | Добавление записи Role с параметрами: {'id': 1, 'name': 'Администратор', 'description': None}
2025-05-12 at 15:54:32 | INFO | Запись Role успешно добавлена.
2025-05-12 at 15:54:32 | INFO | Добавление записи Role с параметрами: {'id': 2, 'name': 'Руководитель региона', 'description': None}
2025-05-12 at 15:54:32 | INFO | Запись Role успешно добавлена.
2025-05-12 at 15:54:32 | INFO | Добавление записи Role с параметрами: {'id': 2, 'name': 'Сотрудник(Исполнитель)', 'description': None}
2025-05-12 at 15:54:32 | ERROR | Ошибка при добавлении записи: (sqlite3.IntegrityError) UNIQUE constraint failed: roles.id
[SQL: INSERT INTO roles (name, description, id) VALUES (?, ?, ?) RETURNING id, created_at, updated_at]
[parameters: ('Сотрудник(Исполнитель)', None, 2)]
(Background on this error at: https://sqlalche.me/e/20/gkpj)
2025-05-12 at 15:54:32 | ERROR | Ошибка при seedRoles: (sqlite3.IntegrityError) UNIQUE constraint failed: roles.id
[SQL: INSERT INTO roles (name, description, id) VALUES (?, ?, ?) RETURNING id, created_at, updated_at]
[parameters: ('Сотрудник(Исполнитель)', None, 2)]
(Background on this error at: https://sqlalche.me/e/20/gkpj)
2025-05-12 at 15:55:32 | INFO | Подсчет количества записей Role по фильтру: {}
2025-05-12 at 15:55:32 | INFO | Найдено 0 записей.
2025-05-12 at 15:55:32 | INFO | Добавление записи Role с параметрами: {'id': 1, 'name': 'Администратор', 'description': None}
2025-05-12 at 15:55:32 | INFO | Запись Role успешно добавлена.
2025-05-12 at 15:55:32 | INFO | Добавление записи Role с параметрами: {'id': 2, 'name': 'Руководитель региона', 'description': None}
2025-05-12 at 15:55:32 | INFO | Запись Role успешно добавлена.
2025-05-12 at 15:55:32 | INFO | Добавление записи Role с параметрами: {'id': 3, 'name': 'Сотрудник(Исполнитель)', 'description': None}
2025-05-12 at 15:55:32 | INFO | Запись Role успешно добавлена.
2025-05-12 at 15:55:48 | INFO | Подсчет количества записей Role по фильтру: {}
2025-05-12 at 15:55:48 | INFO | Найдено 3 записей.
2025-05-12 at 15:55:48 | INFO | Подсчет количества записей Region по фильтру: {}
